dataset_replicate,hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,mean_excess_ce_H,K
1,confirm_K4_i000448,GRU,0.03895877711801938,0.027255452515762568,32,0.010683580572053151,4
1,confirm_K4_i000448,Transformer,0.029919896927165276,0.0229517467680488,128,0.03526449572011266,4
1,confirm_K4_i000654,GRU,0.05133959491589257,0.035209666567473666,8,0.053462359473545384,4
1,confirm_K4_i000654,Transformer,0.0641480556805408,0.023652791552796166,8,0.06207682599915967,4
1,confirm_K4_i000909,GRU,0.031638389220096694,0.019168047366819766,8,0.044225987469359324,4
1,confirm_K4_i000909,Transformer,0.041731474705885924,0.016161344517681465,128,0.016030108978553698,4
1,confirm_K5_i000202,GRU,0.028247573551852083,0.020690735690976868,256,0.010439578379777341,5
1,confirm_K5_i000202,Transformer,0.03834347336009279,0.028590517744239267,256,0.03033987053790415,5
1,confirm_K5_i000312,GRU,0.04736801460053707,0.043995745121258596,8,0.05493090731693503,5
1,confirm_K5_i000312,Transformer,0.052774524764306906,0.03927675235212127,128,0.07830468808902497,5
1,confirm_K5_i000834,GRU,0.03794058315045115,0.025090173034376866,8,0.012514597228570956,5
1,confirm_K5_i000834,Transformer,0.046206406716654935,0.0315531184695286,32,0.02501443319162147,5
1,confirm_K5_i001133,GRU,0.02330021655729962,0.012122854434307433,128,0.013380759799349683,5
1,confirm_K5_i001133,Transformer,0.024630818191334766,0.017475075496140035,8,0.02638473557320073,5
1,confirm_K6_i000105,GRU,0.04145487504967009,0.0338241678408732,256,0.024816754282306768,6
1,confirm_K6_i000105,Transformer,0.04316163055478545,0.03603268493266263,32,0.00836314292827363,6
1,confirm_K6_i000708,GRU,0.05530188409168992,0.0445500036222091,8,0.05273068735143959,6
1,confirm_K6_i000708,Transformer,0.06099154357183792,0.0491436233601982,32,0.10046245786439797,6
1,confirm_K6_i000997,GRU,0.024983590886462684,0.01586614495448047,128,0.0288595659491366,6
1,confirm_K6_i000997,Transformer,0.030884109289153083,0.0197207325611496,8,0.04166778765191098,6
1,confirm_K6_i001189,GRU,0.0246232876955658,0.022626201519080166,32,0.035368574245989506,6
1,confirm_K6_i001189,Transformer,0.027765657746012532,0.014050089766013733,8,0.05148864049138643,6
