outer_test_index,alpha,inner_standardized_rmse,selected
12,1.0,0.7419504080678213,False
12,2.0,0.7380042802531038,False
12,4.0,0.7348686667678175,False
12,8.0,0.7333428259328993,True
12,16.0,0.7344978397677703,False
12,32.0,0.7393798415398466,False
13,1.0,0.7447611378475304,False
13,2.0,0.7406352960935143,False
13,4.0,0.737310059453848,False
13,8.0,0.7355473597066484,True
13,16.0,0.7363596656770566,False
13,32.0,0.7408029760213042,False
14,1.0,0.7410362908249021,False
14,2.0,0.7370036943593965,False
14,4.0,0.73371139569673,False
14,8.0,0.7318832611012731,True
14,16.0,0.7326046140730449,False
14,32.0,0.7371030066325943,False
15,1.0,0.7385667128748531,False
15,2.0,0.7339852228976662,False
15,4.0,0.7299811110136593,False
15,8.0,0.7273515109139347,True
15,16.0,0.727374557551453,False
15,32.0,0.7314894643906235,False
16,1.0,0.7436638057543089,False
16,2.0,0.7394347365584556,False
16,4.0,0.7360274107163207,False
16,8.0,0.7341535739313418,True
16,16.0,0.7348534481811628,False
16,32.0,0.739254223736155,False
17,1.0,0.7451690950750824,False
17,2.0,0.7413302581533415,False
17,4.0,0.7382579659561729,False
17,8.0,0.7366731874242712,True
17,16.0,0.7376559795556175,False
17,32.0,0.742368977401036,False
18,1.0,0.7411156689069304,False
18,2.0,0.7374359357331598,False
18,4.0,0.734414662225359,False
18,8.0,0.7327206106775054,True
18,16.0,0.733472940002129,False
18,32.0,0.7379109051666956,False
19,1.0,0.738182710252944,False
19,2.0,0.734231450681596,False
19,4.0,0.7310560062994635,False
19,8.0,0.7293904553953118,True
19,16.0,0.7302934551673346,False
19,32.0,0.7349477624639928,False
20,1.0,0.7408746247272242,False
20,2.0,0.7369585618432629,False
20,4.0,0.7339666383594067,False
20,8.0,0.7325387794878088,True
20,16.0,0.7336004453534684,False
20,32.0,0.738221886700222,False
21,1.0,0.7337900786502194,False
21,2.0,0.7294266006418223,False
21,4.0,0.7262502253882521,False
21,8.0,0.7251929889168147,True
21,16.0,0.7270510601773349,False
21,32.0,0.732518577622007,False
22,1.0,0.7398423885495343,False
22,2.0,0.7360574090739207,False
22,4.0,0.7331958903373571,False
22,8.0,0.7319624304976804,True
22,16.0,0.7333429659390772,False
22,32.0,0.7383637558306142,False
23,1.0,0.7459954887246595,False
23,2.0,0.7419513214841673,False
23,4.0,0.7386959922610462,False
23,8.0,0.7369802501002566,True
23,16.0,0.737910432908995,False
23,32.0,0.7426594598866076,False
24,1.0,0.7418842122297086,False
24,2.0,0.7387811315282004,False
24,4.0,0.7362604223631655,False
24,8.0,0.7349767620740617,True
24,16.0,0.7360187567874411,False
24,32.0,0.7405663869191839,False
25,1.0,0.742814651435121,False
25,2.0,0.738360124294576,False
25,4.0,0.7347711257421288,False
25,8.0,0.7328466527828803,True
25,16.0,0.7336508092382863,False
25,32.0,0.7382517277680374,False
26,1.0,0.7503813785314952,False
26,2.0,0.746336146421021,False
26,4.0,0.743100677281898,False
26,8.0,0.7414158599455252,True
26,16.0,0.7423799013247946,False
26,32.0,0.747120717723846,False
27,1.0,0.727693252554791,False
27,2.0,0.7235741232878053,False
27,4.0,0.7202731510395254,False
27,8.0,0.7184936566994139,True
27,16.0,0.7191906468783998,False
27,32.0,0.7236310752085092,False
28,1.0,0.7367238296440906,False
28,2.0,0.7332232917289458,False
28,4.0,0.7304721505996018,False
28,8.0,0.7291315189877675,True
28,16.0,0.7302712736493893,False
28,32.0,0.7351010731346329,False
29,1.0,0.739640262887788,False
29,2.0,0.7357354665726766,False
