file,column,dtype,description
data/aggregate/confirmatory__confirmatory_holdout_paired_comparisons.csv,comparison,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_paired_comparisons.csv,n_hmms,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_paired_comparisons.csv,mean_squared_error_improvement,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_paired_comparisons.csv,median_squared_error_improvement,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_paired_comparisons.csv,bootstrap_ci_low,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_paired_comparisons.csv,bootstrap_ci_high,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_paired_comparisons.csv,sign_flip_p_two_sided,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_paired_comparisons.csv,fraction_hmms_improved,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_performance.csv,architecture,object,Learner architecture.
data/aggregate/confirmatory__confirmatory_holdout_performance.csv,outcome,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_performance.csv,model,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_performance.csv,n_development,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_performance.csv,n_confirmatory,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_performance.csv,mae,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_performance.csv,rmse,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_performance.csv,r2,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_predictions.csv,hmm_id,object,Stable HMM identifier.
data/aggregate/confirmatory__confirmatory_holdout_predictions.csv,K,int64,Number of hidden states.
data/aggregate/confirmatory__confirmatory_holdout_predictions.csv,architecture,object,Learner architecture.
data/aggregate/confirmatory__confirmatory_holdout_predictions.csv,outcome,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_predictions.csv,model,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_predictions.csv,observed,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_predictions.csv,predicted,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_predictions.csv,error,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_predictions.csv,absolute_error,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_predictions.csv,squared_error,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_width_summary.csv,hmm_id,object,Stable HMM identifier.
data/aggregate/confirmatory__confirmatory_width_summary.csv,architecture,object,Learner architecture.
data/aggregate/confirmatory__confirmatory_width_summary.csv,A_width_shape,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_width_summary.csv,best_shape_rmse,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_width_summary.csv,best_dimension,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_width_summary.csv,width_gain,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_width_summary.csv,d90,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_width_summary.csv,d95,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
