dataset_replicate,hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,mean_excess_ce_H,K
1,confirm_K4_i000448,Transformer,0.0299198969271653,0.0229517467680488,128,0.0352644957201127,4
1,confirm_K4_i000654,GRU,0.0513395949158926,0.0352096665674737,8,0.0534623594735454,4
1,confirm_K4_i000654,Transformer,0.0641480556805408,0.0236527915527962,8,0.0620768259991596,4
1,confirm_K4_i000909,GRU,0.0316383892200967,0.0191680473668198,8,0.0442259874693593,4
1,confirm_K4_i000909,Transformer,0.0417314747058859,0.0161613445176815,128,0.0160301089785537,4
1,confirm_K5_i000202,GRU,0.0282475735518521,0.0206907356909769,256,0.0104395783797773,5
1,confirm_K5_i000202,Transformer,0.0383434733600928,0.0285905177442393,256,0.0303398705379041,5
1,confirm_K5_i000312,GRU,0.0473680146005371,0.0439957451212586,8,0.054930907316935,5
1,confirm_K5_i000312,Transformer,0.0527745247643069,0.0392767523521213,128,0.078304688089025,5
1,confirm_K5_i000834,GRU,0.0379405831504512,0.0250901730343769,8,0.0125145972285709,5
1,confirm_K5_i000834,Transformer,0.0462064067166549,0.0315531184695286,32,0.0250144331916214,5
1,confirm_K5_i001133,GRU,0.0233002165572996,0.0121228544343075,128,0.0133807597993496,5
1,confirm_K5_i001133,Transformer,0.0246308181913348,0.0174750754961401,8,0.0263847355732007,5
1,confirm_K6_i000105,GRU,0.0414548750496701,0.0338241678408732,256,0.0248167542823067,6
1,confirm_K6_i000105,Transformer,0.0431616305547855,0.0360326849326626,32,0.0083631429282736,6
1,confirm_K6_i000708,GRU,0.0553018840916899,0.0445500036222091,8,0.0527306873514396,6
1,confirm_K6_i000708,Transformer,0.0609915435718379,0.0491436233601982,32,0.100462457864398,6
1,confirm_K6_i000997,GRU,0.0249835908864627,0.0158661449544805,128,0.0288595659491366,6
1,confirm_K6_i000997,Transformer,0.0308841092891531,0.0197207325611496,8,0.0416677876519109,6
1,confirm_K6_i001189,GRU,0.0246232876955658,0.0226262015190802,32,0.0353685742459895,6
