contrast,source,n_train,method,alpha,beta,outcome,n_pairs,mean_effect_high_minus_low,median_effect_high_minus_low,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p_two_sided,fraction_positive
gain_contrast,count_predictor,1024,interpolated_backoff,0.1,5.0,excess_ce_H,12,0.000219708912917,0.0015664908710778,-0.0041928950412516,0.0047720695334699,0.9298070192980702,0.5833333333333334
gain_contrast,count_predictor,1024,interpolated_backoff,0.1,5.0,shape_rmse,12,0.0001976462282935,-0.0001530266493332,-0.0014910703844844,0.002160999461553,0.8516148385161484,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,0.1,20.0,excess_ce_H,12,0.0002046133834333,0.0007718755821115,-0.0036273785464208,0.004236407103734,0.9194080591940806,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,0.1,20.0,shape_rmse,12,0.0001746175037968,-0.0003292330218893,-0.0009493316942007,0.0014780124673051,0.806019398060194,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,0.5,1.0,excess_ce_H,12,3.919229426049715e-06,0.0012354910436836,-0.0042080067417271,0.0043214849131699,0.9982001799820018,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,0.5,1.0,shape_rmse,12,1.7142534784699823e-05,-0.0003842980492783,-0.0014993236177599,0.0016994239732389,0.9895010498950104,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,0.5,5.0,excess_ce_H,12,1.895474093989233e-05,0.0008377559089149,-0.0039843037596568,0.0040619611751363,0.9916008399160084,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,0.5,5.0,shape_rmse,12,2.1515739863141835e-05,-0.0002755794127613,-0.0012273156343656,0.0014638569453863,0.9708029197080292,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,0.5,20.0,excess_ce_H,12,4.853665137786678e-05,0.0003883886799284,-0.0036822381899496,0.0038362665351048,0.9796020397960205,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,0.5,20.0,shape_rmse,12,3.377893096576679e-05,-0.0001193028147701,-0.0008890276722721,0.001104812134321,0.9574042595740426,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,1.0,1.0,excess_ce_H,12,-2.444668380722469e-05,0.0007876084176498,-0.0039646584930482,0.0039675544271256,0.99000099990001,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,1.0,1.0,shape_rmse,12,-1.0371223471108347e-05,-1.016287654930035e-05,-0.0011638679520841,0.0012721725309845,0.9905009499050096,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,1.0,5.0,excess_ce_H,12,-3.621175331879114e-05,0.000407362943286,-0.0039145356342038,0.0037446285145476,0.9887011298870112,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,1.0,5.0,shape_rmse,12,-2.727496694571688e-05,-6.54863529120503e-05,-0.0010568329835657,0.0010823724498955,0.963903609639036,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,1.0,20.0,excess_ce_H,12,-3.0569843364224775e-05,5.196750935169969e-05,-0.0035938190842328,0.0035526218776657,0.9826017398260174,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,1.0,20.0,shape_rmse,12,-3.4802849575716137e-05,-0.0002659477998439,-0.0008286123759498,0.0008611617645402,0.943905609439056,0.4166666666666667
gain_contrast,count_predictor,2048,additive,0.1,,excess_ce_H,12,0.0006349064113225,0.0005375561978899,-0.0030321610488223,0.0043052734962633,0.7488251174882512,0.6666666666666666
gain_contrast,count_predictor,2048,additive,0.1,,shape_rmse,12,0.0005279678850358,0.0016145713267821,-0.000968861224105,0.0018668477048146,0.4893510648935106,0.6666666666666666
gain_contrast,count_predictor,2048,additive,0.5,,excess_ce_H,12,0.0002991075242921,0.0017631125838448,-0.0030406633338653,0.0035077416539826,0.8661133886611339,0.5833333333333334
gain_contrast,count_predictor,2048,additive,0.5,,shape_rmse,12,0.000233695631377,0.0010943192045911,-0.0006618761459209,0.0010704558355151,0.6194380561943805,0.5833333333333334
gain_contrast,count_predictor,2048,additive,1.0,,excess_ce_H,12,0.0002150943052154,0.0016083543559837,-0.0030290784067776,0.003250385364957,0.9169083091690832,0.5833333333333334
gain_contrast,count_predictor,2048,additive,1.0,,shape_rmse,12,0.0001589882594483,0.000782207471627,-0.0005945773326807,0.0008556848701796,0.6773322667733227,0.5833333333333334
gain_contrast,count_predictor,2048,interpolated_backoff,0.1,1.0,excess_ce_H,12,0.0005882631316366,0.0008554353789344,-0.0030874739937598,0.0041637184435916,0.7657234276572342,0.5833333333333334
