hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio,K
confirm_K5_i000940,GRU,0.0246873978424149,0.0232995491099467,128,0.0017897986159583,128.0,128.0,0.0274193152686562,-93.28234594327046,5
confirm_K5_i000940,Transformer,0.0209241900436041,0.0164800589779837,8,0.0,,,0.0192301358928885,-5.8536669591734105,5
confirm_K5_i001133,GRU,0.0214246724699721,0.0158281807255543,32,0.0120283113852332,32.0,32.0,0.0223442723044438,5.2286621345352895,5
confirm_K5_i001133,Transformer,0.0232890752292462,0.0196521156534759,8,0.0,,,0.0280708041974587,-0.9740275767378392,5
confirm_K6_i000105,GRU,0.0436713357615834,0.0294293218165293,128,0.0008696637163423,128.0,128.0,0.0293956710108033,-1.0377682280610792,6
confirm_K6_i000105,Transformer,0.0428219412281717,0.0301916323426462,32,0.0105576907185258,32.0,32.0,0.0350897012360802,-17.667353813343947,6
confirm_K6_i000109,GRU,0.0236429937846483,0.0189509792032342,128,0.0051853684054125,128.0,128.0,0.0229796942363315,-0.1213491932459792,6
confirm_K6_i000109,Transformer,0.0284572817274676,0.0228471116746718,256,0.0030967950604596,256.0,256.0,0.0264957055489355,0.3750278589428632,6
confirm_K6_i000150,GRU,0.0467301316651623,0.0404199196939379,128,0.0006557987287367,128.0,128.0,0.0268011158062724,1.1066043401324066,6
confirm_K6_i000150,Transformer,0.0533667282846201,0.043868593496259,32,0.0149709651821348,32.0,32.0,0.0286140115662126,0.391304061743049,6
confirm_K6_i000225,GRU,0.033819566951597,0.0284463809109834,256,0.0023443156448781,256.0,256.0,0.0285921821947857,3.997035235932774,6
confirm_K6_i000225,Transformer,0.0337801149944159,0.0239624475297452,128,0.0079689227873702,128.0,128.0,0.0363568300958439,-1.1807981848609972,6
confirm_K6_i000420,GRU,0.0474923749832806,0.0406188310918416,8,0.0,,,0.0490735438257857,0.131415103230621,6
confirm_K6_i000420,Transformer,0.0398751419024874,0.0265627736394344,8,0.0,,,0.0539649304539367,1.2815575040640674,6
confirm_K6_i000446,GRU,0.0173509033119662,0.0141690598604223,256,0.0053513007418398,256.0,256.0,0.0110918894416236,3.490005265387147,6
confirm_K6_i000446,Transformer,0.0210745153510541,0.0142532942006225,8,0.0,,,0.0284184813505553,-1.8437719783288025,6
confirm_K6_i000453,GRU,0.0352720731029336,0.0264923477967419,128,0.0083000358606118,128.0,128.0,0.0191428050224337,103.14412910512154,6
confirm_K6_i000453,Transformer,0.0276853074276103,0.0225104484470022,256,0.0078242605334343,256.0,256.0,0.0214063171122822,-14.981364315750838,6
confirm_K6_i000482,GRU,0.0118648241301255,0.0089430755355866,32,0.0006358696951501,32.0,32.0,0.0173325939256902,7.469989562179178,6
confirm_K6_i000482,Transformer,0.0179228783271051,0.013720853087062,8,0.0,,,0.0140274794925209,32.474264052072684,6
confirm_K6_i000578,GRU,0.0133590715141862,0.0110137630738415,256,0.0017813422426805,256.0,256.0,0.0167608300345341,13.614756010762536,6
confirm_K6_i000578,Transformer,0.0162054833486431,0.0128778683043594,32,0.0046200132851391,32.0,32.0,0.0209222821640174,63.30900890525944,6
confirm_K6_i000596,GRU,0.0188185829350745,0.0132917480500286,8,0.0,,,0.0133463179883555,1.272939442672257,6
confirm_K6_i000596,Transformer,0.020670377311004,0.0135196675474664,8,0.0,,,0.0313253628280953,-4.150340300365747,6
confirm_K6_i000708,GRU,0.0445759924289535,0.0379001486345493,8,0.0,,,0.0831101584721746,0.8955606793847892,6
confirm_K6_i000708,Transformer,0.0573530351576486,0.0499476748324878,8,0.0,,,0.072653818084711,0.4456333700538858,6
confirm_K6_i000737,GRU,0.0296753038750178,0.021181153206204,256,0.0040767936040052,256.0,256.0,0.023443892874497,0.806266760692482,6
confirm_K6_i000737,Transformer,0.0288821549091862,0.0158271125912253,32,0.0188034842676062,32.0,32.0,0.0374744030616461,0.5246921483195447,6
confirm_K6_i000814,GRU,0.0407520268792896,0.0321344579430331,8,0.0,,,0.045323067298925,0.8198751378348119,6
confirm_K6_i000814,Transformer,0.0532502703834009,0.0480360395802667,32,0.0074812892416704,32.0,32.0,0.0827093341861129,0.5052273882550424,6
confirm_K6_i000997,GRU,0.0270387000897788,0.0190501492057429,32,0.0115772894439564,32.0,32.0,0.0240027999338454,-5.829274825151472,6
confirm_K6_i000997,Transformer,0.0276850403545044,0.0211310421006627,8,0.0,,,0.0217928463426178,-9.825780954484395,6
confirm_K6_i001146,GRU,0.044672364347936,0.0366434655005323,8,0.0,,,0.032863706943005,-1.720159840164515,6
confirm_K6_i001146,Transformer,0.0356080087893929,0.0278568830274414,8,0.0,,,0.0341370528902706,-0.996671901495016,6
confirm_K6_i001189,GRU,0.0373822460562307,0.0319091526686662,8,0.0,,,0.0584145185442968,-0.0813126653715474,6
confirm_K6_i001189,Transformer,0.0395550550361539,0.0346427294739578,8,0.0,,,0.0718951092006966,-0.2027753359237035,6
