n_train,method,alpha,beta,outcome,diagnostic,spearman_rho,n_hmms
256,interpolated_backoff,0.1,5.0,excess_ce_H,unseen_test_context_rate,-0.3052697562618706,48
256,interpolated_backoff,0.1,5.0,excess_ce_H,mean_train_count_for_test_context,-0.8214285714285714,48
256,interpolated_backoff,0.1,5.0,excess_ce_H,empirical_effective_context_count,0.9501736864958747,48
256,interpolated_backoff,0.1,5.0,excess_ce_H,mean_backoff_weight,0.9820885801128962,48
256,interpolated_backoff,0.1,20.0,shape_rmse,unseen_test_context_rate,-0.3135775244418894,48
256,interpolated_backoff,0.1,20.0,shape_rmse,mean_train_count_for_test_context,-0.8412939643942682,48
256,interpolated_backoff,0.1,20.0,shape_rmse,empirical_effective_context_count,0.9626574033868868,48
256,interpolated_backoff,0.1,20.0,shape_rmse,mean_backoff_weight,0.979483282674772,48
256,interpolated_backoff,0.1,20.0,excess_ce_H,unseen_test_context_rate,-0.2573236170268596,48
256,interpolated_backoff,0.1,20.0,excess_ce_H,mean_train_count_for_test_context,-0.7895136778115502,48
256,interpolated_backoff,0.1,20.0,excess_ce_H,empirical_effective_context_count,0.8929656969170646,48
256,interpolated_backoff,0.1,20.0,excess_ce_H,mean_backoff_weight,0.9168475900998698,48
256,interpolated_backoff,0.5,1.0,shape_rmse,unseen_test_context_rate,-0.3579399205404217,48
256,interpolated_backoff,0.5,1.0,shape_rmse,mean_train_count_for_test_context,-0.8693009118541033,48
256,interpolated_backoff,0.5,1.0,shape_rmse,empirical_effective_context_count,0.9768779852366478,48
256,interpolated_backoff,0.5,1.0,shape_rmse,mean_backoff_weight,0.9421406860616588,48
256,interpolated_backoff,0.5,1.0,excess_ce_H,unseen_test_context_rate,-0.3503380411600122,48
256,interpolated_backoff,0.5,1.0,excess_ce_H,mean_train_count_for_test_context,-0.8608336951801997,48
256,interpolated_backoff,0.5,1.0,excess_ce_H,empirical_effective_context_count,0.9595093356491532,48
256,interpolated_backoff,0.5,1.0,excess_ce_H,mean_backoff_weight,0.949413808076422,48
256,interpolated_backoff,0.5,5.0,shape_rmse,unseen_test_context_rate,-0.3813428492043965,48
256,interpolated_backoff,0.5,5.0,shape_rmse,mean_train_count_for_test_context,-0.8905775075987841,48
256,interpolated_backoff,0.5,5.0,shape_rmse,empirical_effective_context_count,0.980134607034303,48
256,interpolated_backoff,0.5,5.0,shape_rmse,mean_backoff_weight,0.965045592705167,48
256,interpolated_backoff,0.5,5.0,excess_ce_H,unseen_test_context_rate,-0.353270194635313,48
256,interpolated_backoff,0.5,5.0,excess_ce_H,mean_train_count_for_test_context,-0.8566000868432478,48
256,interpolated_backoff,0.5,5.0,excess_ce_H,empirical_effective_context_count,0.939969604863222,48
256,interpolated_backoff,0.5,5.0,excess_ce_H,mean_backoff_weight,0.9418150238818932,48
256,interpolated_backoff,0.5,20.0,shape_rmse,unseen_test_context_rate,-0.4387913376649192,48
256,interpolated_backoff,0.5,20.0,shape_rmse,mean_train_count_for_test_context,-0.9058836300477636,48
256,interpolated_backoff,0.5,20.0,shape_rmse,empirical_effective_context_count,0.961788970907512,48
256,interpolated_backoff,0.5,20.0,shape_rmse,mean_backoff_weight,0.9413808076422058,48
256,interpolated_backoff,0.5,20.0,excess_ce_H,unseen_test_context_rate,-0.2900116983626202,48
256,interpolated_backoff,0.5,20.0,excess_ce_H,mean_train_count_for_test_context,-0.791033434650456,48
256,interpolated_backoff,0.5,20.0,excess_ce_H,empirical_effective_context_count,0.8409683022145028,48
256,interpolated_backoff,0.5,20.0,excess_ce_H,mean_backoff_weight,0.8463960052105949,48
256,interpolated_backoff,1.0,1.0,shape_rmse,unseen_test_context_rate,-0.4334157229602012,48
256,interpolated_backoff,1.0,1.0,shape_rmse,mean_train_count_for_test_context,-0.9205384281372124,48
256,interpolated_backoff,1.0,1.0,shape_rmse,empirical_effective_context_count,0.9688449848024316,48
256,interpolated_backoff,1.0,1.0,shape_rmse,mean_backoff_weight,0.8716891011723839,48
256,interpolated_backoff,1.0,1.0,excess_ce_H,unseen_test_context_rate,-0.3692341413341728,48
256,interpolated_backoff,1.0,1.0,excess_ce_H,mean_train_count_for_test_context,-0.8733174120712114,48
256,interpolated_backoff,1.0,1.0,excess_ce_H,empirical_effective_context_count,0.9219496309161964,48
256,interpolated_backoff,1.0,1.0,excess_ce_H,mean_backoff_weight,0.885909683022145,48
256,interpolated_backoff,1.0,5.0,shape_rmse,unseen_test_context_rate,-0.5195341565125539,48
256,interpolated_backoff,1.0,5.0,shape_rmse,mean_train_count_for_test_context,-0.9445288753799392,48
256,interpolated_backoff,1.0,5.0,shape_rmse,empirical_effective_context_count,0.8964394268345636,48
256,interpolated_backoff,1.0,5.0,shape_rmse,mean_backoff_weight,0.802540165002171,48
256,interpolated_backoff,1.0,5.0,excess_ce_H,unseen_test_context_rate,-0.4053430683911177,48
256,interpolated_backoff,1.0,5.0,excess_ce_H,mean_train_count_for_test_context,-0.8529092488059054,48
256,interpolated_backoff,1.0,5.0,excess_ce_H,empirical_effective_context_count,0.8481328701693442,48
256,interpolated_backoff,1.0,5.0,excess_ce_H,mean_backoff_weight,0.8137212331741208,48
256,interpolated_backoff,1.0,20.0,shape_rmse,unseen_test_context_rate,-0.5877338743825128,48
256,interpolated_backoff,1.0,20.0,shape_rmse,mean_train_count_for_test_context,-0.8268562744246635,48
256,interpolated_backoff,1.0,20.0,shape_rmse,empirical_effective_context_count,0.676183239253148,48
256,interpolated_backoff,1.0,20.0,shape_rmse,mean_backoff_weight,0.5896656534954408,48
256,interpolated_backoff,1.0,20.0,excess_ce_H,unseen_test_context_rate,-0.2802921525833824,48
256,interpolated_backoff,1.0,20.0,excess_ce_H,mean_train_count_for_test_context,-0.6846504559270515,48
256,interpolated_backoff,1.0,20.0,excess_ce_H,empirical_effective_context_count,0.6426400347372992,48
256,interpolated_backoff,1.0,20.0,excess_ce_H,mean_backoff_weight,0.6234259661311333,48
512,additive,0.1,,shape_rmse,unseen_test_context_rate,-0.604713080547614,48
512,additive,0.1,,shape_rmse,mean_train_count_for_test_context,-0.7629179331306991,48
512,additive,0.1,,shape_rmse,empirical_effective_context_count,0.9236864958749456,48
512,additive,0.1,,shape_rmse,mean_backoff_weight,,48
512,additive,0.1,,excess_ce_H,unseen_test_context_rate,-0.5878265071391279,48
512,additive,0.1,,excess_ce_H,mean_train_count_for_test_context,-0.7653061224489796,48
512,additive,0.1,,excess_ce_H,empirical_effective_context_count,0.9154363873208858,48
512,additive,0.1,,excess_ce_H,mean_backoff_weight,,48
512,additive,0.5,,shape_rmse,unseen_test_context_rate,-0.6213824633013283,48
512,additive,0.5,,shape_rmse,mean_train_count_for_test_context,-0.8024316109422492,48
512,additive,0.5,,shape_rmse,empirical_effective_context_count,0.9398610508033,48
512,additive,0.5,,shape_rmse,mean_backoff_weight,,48
512,additive,0.5,,excess_ce_H,unseen_test_context_rate,-0.5961883473478315,48
